station,date,file_id,file,pod,minutes_on,min_temp,max_temp,minutes_lying,n_clicks,dph,n_encounters,dps,n_trains,remove
1014,2011-09-15,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,1,4.2,0,0,0,0,0,0,FALSE
1014,2011-09-16,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.4,4,0,0,0,0,0,0,FALSE
1014,2011-09-17,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,3.4,0,0,0,0,0,0,FALSE
1014,2011-09-18,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,3,0,0,0,0,0,0,FALSE
1014,2011-09-19,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,2.4,0,0,0,0,0,0,FALSE
1014,2011-09-20,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,2.4,0,0,0,0,0,0,FALSE
1014,2011-09-21,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,2.4,0,0,0,0,0,0,FALSE
1014,2011-09-22,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,3,0,0,0,0,0,0,FALSE
1014,2011-09-23,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,3.8,0,0,0,0,0,0,FALSE
1014,2011-09-24,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.4,4.2,0,0,0,0,0,0,FALSE
1014,2011-09-25,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,4,0,0,0,0,0,0,FALSE
1014,2011-09-26,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,3.8,0,0,0,0,0,0,FALSE
1014,2011-09-27,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,3.4,0,0,0,0,0,0,FALSE
1014,2011-09-28,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,3.2,0,0,0,0,0,0,FALSE
